region,city,city_slug,doc_id,en_slug,en_title,es_title,ja_title,has_photo_hero,legacy_wp,duplicate_flag,descriptors_en,descriptors_es,descriptors_ja,gap_text_en,gap_text_es,gap_text_ja,trough_text_en,trough_text_es,trough_text_ja,caption_en,caption_es,caption_ja,season_label_en,season_label_es,season_label_ja
lower-egypt,Cairo,cairo,wp-page-59394,weather-in-cairo,Weather in Cairo,Clima en El Cairo,カイロの天気と気温,yes,yes,,,,,,,,,,,,,,,,
lower-egypt,Giza,giza,wp-page-60069,weather-in-giza,Weather In Giza,El clima en Guiza,ギザの気候とベストシーズン,no,yes,,,,,,,,,,,,,,,,
lower-egypt,Ismailia,ismailia,wp-page-60120,ismailia-weather-guide,Ismailia Weather And Best Time To Visit,El clima en Ismailía y cuándo ir,イスマイリアの気候とベストシーズン,no,yes,,,,,,,,,,,,,,,,
lower-egypt,Rosetta Rasheed,rosetta-rasheed,guideArticle.rosetta-rasheed.weather-in-rosetta-rasheed,weather-in-rosetta-rasheed,Rosetta Weather and Best Time to Visit,El tiempo en Rosetta (Rashid) y la mejor época para visitarla,ロゼッタ（ラシード）の天気とベストシーズン,no,no,DUP-rosetta-rasheed,,,,,,,,,,,,,,,,
lower-egypt,Rosetta Rasheed,rosetta-rasheed,wp-page-60419,when-to-go-rosetta,When to Go Rosetta,Clima y Estaciones en Rosetta,ロゼッタ・ラシードの気候と季節,no,yes,DUP-rosetta-rasheed,,,,,,,,,,,,,,,,
lower-egypt,Wadi Al Natron,wadi-el-natrun,wp-page-60597,wadi-el-natrun-weather-insights,Wadi El Natrun Weather Insights,Clima y Estaciones en Wadi Al Natron,ワディ・アル・ナトロンの気候と季節,yes,yes,,,,,,,,,,,,,,,,
mediterranean,Alexandria,alexandria,wp-page-59163,alexandria-weather,Alexandria Weather and Best Time to Visit,El clima de Alejandría y la mejor época para visitarla,アレクサンドリアの天気とベストシーズン,no,yes,,,,,,,,,,,,,,,,
mediterranean,Marsa Matruh,marsa-matruh,wp-page-60224,marsa-matruh-weather-overview,Marsa Matruh Weather Overview,El Clima En Marsa Matruh,マルサ・マトルーフの年間気候ガイド,yes,yes,,,,,,,,,,,,,,,,
mediterranean,Port Said,port-said,wp-page-60347,port-said-seasonal-guide,Port Said Seasonal Guide,Clima y Estaciones en Port Said,ポートサイドの訪れる最適な時期,yes,yes,,,,,,,,,,,,,,,,
red-sea,El Gouna,al-gouna,wp-page-58795,al-gouna-weather,El Gouna Weather and Best Time to Visit,El clima en El Gouna y mejor época para visitar,エル・グーナの天気とベストシーズン,no,yes,,,,,,,,,,,,,,,,
red-sea,Al Quseir,al-quseir,wp-page-58691,weather-in-al-quseir,Weather In Al Quseir,Condiciones Climáticas de Al Quseir,アル・クセイルの天気予報,yes,yes,,,,,,,,,,,,,,,,
red-sea,Hurghada,hurghada,wp-page-59689,hurghada-travel-weather,Hurghada Travel Weather,El Clima en Hurghada,ハルガダの気候と季節,yes,yes,,,,,,,,,,,,,,,,
red-sea,Marsa Alam,marsa-alam,wp-page-78394,when-to-go-marsa-alam,Marsa Alam Weather and Best Time to Visit,El clima de Marsa Alam y la mejor época para visitar,マルサ・アラムの気候とベストシーズン,no,yes,,,,,,,,,,,,,,,,
red-sea,Safaga,safaga,wp-page-60438,weather-in-safaga,Weather in safaga,Condiciones Climáticas de Safaga,サファガの気候と季節,yes,yes,,,,,,,,,,,,,,,,
red-sea,Suez,suez,wp-page-60557,suez-temperature-trends,Suez Temperature Trends,Clima y Estaciones en Suez,スエズを探索するのに最適な時期,yes,yes,,,,,,,,,,,,,,,,
sinai,Al Arish,al-arish,wp-page-58578,weather-in-al-arish,Al Arish Weather and Best Time to Visit,Clima de Al-Arish y mejor época para visitar,アル・アリーシュの天気とベストシーズン,no,yes,,,,,,,,,,,,,,,,
sinai,Dahab,dahab,wp-page-59429,dahab-seasonal-guide,Dahab Weather and Best Time to Visit,El tiempo en Dahab y mejor época para visitarla,ダハブの天気とベストシーズン,no,yes,,,,,,,,,,,,,,,,
sinai,Nuweiba,nuweiba,wp-page-60297,nuweiba-weather-guide,Nuweiba Weather Guide,Condiciones Climáticas de Nuweiba,ヌウェイバの気候と季節,yes,yes,,,,,,,,,,,,,,,,
sinai,Ras Sudr,ras-sudr,wp-page-60380,ras-sudr-climate,Ras Sudr Climate,Ras Sudr Y Su Clima.,ラス・スドルの気候,yes,yes,,,,,,,,,,,,,,,,
sinai,Saint Catherine,saint-catherine,wp-page-60457,weather-in-saint-catherine,Weather In Saint Catherine,Clima y Estaciones en Santa Catalina,聖カタリナの気候と季節,yes,yes,,,,,,,,,,,,,,,,
sinai,Sharm El Sheikh,sharm-el-sheikh,wp-page-60483,sharm-el-sheikh-weather-guide,Sharm El Sheikh Weather Guide,Clima y Estaciones en Sharm El Sheikh,シャルム・エル・シェイクの年間気候ガイド,yes,yes,,,,,,,,,,,,,,,,
sinai,Taba,taba,wp-page-60579,taba-temperature-trends,Taba Temperature Trends,Condiciones Climaticas De Taba,タバの気候,yes,yes,,,,,,,,,,,,,,,,
upper-egypt,Abu Simbel,abu-simbel,wp-page-57798,weather-in-abu-simbel,Abu Simbel Weather and Best Time to Visit,Clima y mejor época para visitar Abu Simbel,アブ・シンベルの天気とベストシーズン,no,yes,,,,,,,,,,,,,,,,
upper-egypt,Akhmim,akhmim,wp-page-58422,akhmim-weather,Akhmim Weather and Best Time to Visit,El clima de Akhmim y la mejor época para visitar,アクミームの天気とベストシーズン,no,yes,,,,,,,,,,,,,,,,
upper-egypt,Al Fayoum,al-fayoum,wp-page-58573,weather-in-al-fayoum,Al Fayoum Weather and Best Time to Visit,Clima de Al Fayoum y mejor época para visitar,ファイユームの天気とベストシーズン,no,yes,,,,,,,,,,,,,,,,
upper-egypt,Al Minya,al-minya,wp-page-58638,weather-in-al-minya,Weather In Al Minya,Al Minya Y Su Clima,アル・ミンヤの月別天気とおすすめの服装,yes,yes,,,,,,,,,,,,,,,,
upper-egypt,Al Wadi Al Gadid,al-wadi-al-gadid,wp-page-58730,weather-in-al-wadi-al-gadid,Weather In Al Wadi AL Gadid,Cómo es el clima en Al Wadi Al Gadid,アル・ワーディ・アル・ガディードの天気予報,yes,yes,,,,,,,,,,,,,,,,
upper-egypt,Aswan,aswan,wp-page-59983,weather-in-aswan,Aswan Weather and Best Time to Visit,El clima de Asuán y la mejor época para visitar,アスワンの天気とベストシーズン,no,yes,,,,,,,,,,,,,,,,
upper-egypt,Asyut,asyut,wp-page-59265,weather-in-asyut,Asyut Weather and Best Time to Visit,El clima de Asiut y la mejor época para visitar,アシュートの天気とベストシーズン,no,yes,,,,,,,,,,,,,,,,
upper-egypt,Beni Suef,beni-suef,wp-page-59356,beni-suef-weather,Beni Suef Weather and Best Time to Visit,El clima de Beni Suef y la mejor época para visitar,ベニ・スエフの天気とベストシーズン,no,yes,,,,,,,,,,,,,,,,
