slug,sanity_title,price_eur,held_sheet_price_eur,likely_sheet_row,note
exclusive-chartered-experience-private-boat-journey-to-orange-bay,"A Chartered Day to Orange Bay: Private Boat, Giftun National Park, Your Pace",,,,no price in sheet — needs a fresh figure
abu-simbel-temples-day-tour-from-aswan,Abu Simbel Temples Day Tour from Aswan,,142.25,Abu-Simble Bus Day Tour from Aswan,AMBIGUOUS: one sheet row maps to several tours — confirm which
private-tour-abu-simble-by-bus-from-aswan,Abu Simbel by Car from Aswan: A Full-Day Temple Journey,,142.25,Abu-Simble Bus Day Tour from Aswan,AMBIGUOUS: one sheet row maps to several tours — confirm which
abu-simble-by-plane-from-aswan,Abu Simbel by Plane from Aswan: A Morning with Ramses II,,142.25,Abu-Simble Bus Day Tour from Aswan,AMBIGUOUS: one sheet row maps to several tours — confirm which
alexandria-catacombs-pompeys-pillar-group-day-tour-from-cairo,"Alexandria from Cairo: Catacombs, Pompey's Pillar, Greco-Roman Museum & Roman Amphitheatre",,,,no price in sheet — needs a fresh figure
private-tour-aswan-bird-watching-tour,Aswan Bird-Watching Tour: Dawn on the Nile by Motorboat,,51.25,Aswan Bird-Watching Private Excursion,verify pairing (title was rewritten)
aswan-full-day-city-tour,"Aswan Full-Day City Tour: High Dam, Philae & the Unfinished Obelisk",,,,no price in sheet — needs a fresh figure
aswan-private-car-and-guide,Aswan by Private Car & Guide: A Full-Day Tour of the City,,66.88,Private Car and Personal Guide ,verify pairing (title was rewritten)
aswan-to-el-kab-and-edfu-temple-tour,Aswan to El Kab and Edfu: A Day Between the 18th Dynasty and the Last Working Temple,,172.19,Temples of Time: Aswan to El Kab and Edfu Temple Tour,verify pairing (title was rewritten)
cairo-by-bus-group-day-tour-from-hurghada,Cairo by Bus: Full-Day Group Tour from Hurghada,,121.25,Capital Splendors: Full-Day Trip to Cairo by Plane from Hurghada,AMBIGUOUS: one sheet row maps to several tours — confirm which
egyptian-museum-citadel-and-khan-el-khalili-bazaar,"Cairo in a Day: Egyptian Museum, Citadel & Khan el-Khalili",,91.25,"Cairo's Treasures: Egyptian Museum, Citadel & Bazaar Day Tour",
aqua-park-cleo-park,"Cleo Park Aqua Park, Hadaba: A Full Day at Sharm's Water Park",,,,no price in sheet — needs a fresh figure
dahab-blue-hole-desert-snorkel-group-day-tour-from-sharm,"Dahab, Wadi Qunai & Blue Hole: Desert & Snorkel Group Day Tour from Sharm El Sheikh",,0,"Private Day Tour: South Sinai Desert, Bedouin Community & Blue Hole Snorkeling from Sharm El Sheikh",sheet price was €0 — needs a real figure
dendera-and-abydos-temple-day-tour-from-hurghada,Dendera & Abydos Temples: Group Day Tour from Hurghada,,181.5,Sacred Sands: Unveiling Dendera and Abydos from Hurghada,AMBIGUOUS: one sheet row maps to several tours — confirm which
