city,title,url,draft_changes,body_text_changed,body_size_delta,hero_alt_locales_filled,draft_last_edited,links_waiting,doc_id,decision
abu-simbel,Abu Simbel History,/guide/abu-simbel/abu-simbel-historical-overview,body heroImage slug summary title,yes,-7579,3/3,2026-07-04,3,wp-page-56930,
abu-simbel,Abu Simbel Solar Alignment Festival,/guide/abu-simbel/upcoming-events-in-abu-simbel,body heroImage slug summary title,yes,-3825,3/3,2026-07-04,6,wp-page-57848,
abu-simbel,Food in Abu Simbel,/guide/abu-simbel/food-in-abu-simbel,body heroImage slug summary title,yes,-10932,0/3,2026-06-12,6,wp-page-57838,
al-arish,Al Arish History,/guide/al-arish/al-arish-history,body heroImage slug summary title,yes,-9602,0/3,2026-06-12,4,wp-page-58576,
al-gouna,El Gouna Events and Festivals,/guide/al-gouna/al-gouna-festivals-and-celebrations,body heroImage seo slug summary title,yes,-5880,0/3,2026-06-12,3,wp-page-58799,
al-gouna,Food in El Gouna,/guide/al-gouna/traditional-food-in-al-gouna,body heroImage seo slug summary title,yes,-5666,0/3,2026-06-12,8,wp-page-58803,
al-gouna,Getting Around El Gouna,/guide/al-gouna/getting-around-in-al-gouna,body heroImage seo slug summary title,yes,-7686,0/3,2026-06-12,11,wp-page-58802,
al-gouna,Getting to El Gouna,/guide/al-gouna/how-to-reach-al-gouna,body heroImage seo slug summary title,yes,-8098,3/3,2026-07-04,10,wp-page-58801,
al-gouna,Things to Do in El Gouna,/guide/al-gouna/things-to-do-in-al-gouna,body heroImage kind seo slug summary title,yes,-7002,3/3,2026-07-04,11,wp-page-58798,
al-gouna,Where to Stay in El Gouna,/guide/al-gouna/stay-in-al-gouna,body heroImage section seo slug summary title,yes,-7624,0/3,2026-06-12,8,wp-page-58796,
al-minya,Al-Minya — Getting Here,/guide/al-minya/how-to-go-to-al-minya,body heroImage seo summary title,yes,-7102,0/3,2026-06-12,24,wp-page-58640,
al-minya,Al-Minya — Weather and Best Time to Visit,/guide/al-minya/weather-in-al-minya,body heroImage seo slug summary title,yes,-6771,0/3,2026-06-12,22,wp-page-58638,
al-minya,Al-Minya — Where to Stay,/guide/al-minya/places-to-stay-in-al-minya,body heroImage section seo summary title,yes,-1967,0/3,2026-06-12,19,wp-page-58642,
al-minya,Only Here in Al-Minya: Akhenaten and the Amarna Moment,/guide/al-minya/only-here-in-al-minya,body heroImage seo slug summary title,yes,-10542,0/3,2026-06-12,4,wp-page-58655,
al-minya,Ticket Prices for Attractions in Al Minya & Asyut,/guide/al-minya/ticket-prices-for-attractions-in-al-minya-asyut,body heroImage,no,0,0/3,2026-06-12,9,wp-page-72364,
