category,type,doc,base_id,doc_status,alt_en,alt_es,alt_ja,cap_en,cap_es,cap_ja
NO-HERO-LIVE,theme,"Egypt In Depth",theme-egypt-in-depth,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,tourLanding,"Authentic Dahabiya Nile Cruise",tourLanding.authentic-dahabiya-nile-cruise,published+draft,-,-,-,-,-,-
DRAFT-ONLY-DOC-INCOMPLETE,nileCruise,"Adelaïde Dahabiya",wp-page-106202,DRAFT-ONLY,-,-,-,-,-,-
DRAFT-ONLY-DOC-INCOMPLETE,nileCruise,"Agatha Dahabiya",wp-page-106203,DRAFT-ONLY,-,-,-,-,-,-
DRAFT-ONLY-DOC-INCOMPLETE,tour,"Temples of Time: Day Tour to Nubian Temples from Aswan",wp-page-113187,DRAFT-ONLY,-,-,-,-,-,-
DRAFT-ONLY-DOC-INCOMPLETE,tour,"Day Tour to Visit Cairo from Alexandria",wp-page-113456,DRAFT-ONLY,-,-,-,-,-,-
DRAFT-ONLY-DOC-INCOMPLETE,tour,"Dolphins Dance Group: Shared Seas Full Day Snorkeling Tour",wp-page-115168,DRAFT-ONLY,-,-,-,-,-,-
DRAFT-ONLY-DOC-INCOMPLETE,tour,"Coral Companions: Shared Snorkeling Day at Giftun Island",wp-page-115196,DRAFT-ONLY,-,-,-,-,-,-
DRAFT-ONLY-DOC-INCOMPLETE,tour,"Marine Marvels: Private Snorkeling Adventure in Marsa Alam",wp-page-115481,DRAFT-ONLY,-,-,-,-,-,-
DRAFT-ONLY-DOC-INCOMPLETE,tour,"Capital Splendors: Full-Day Group Trip to Cairo by Bus from Hurghada",wp-page-115522,DRAFT-ONLY,-,-,-,-,-,-
DRAFT-ONLY-DOC-INCOMPLETE,tour,"Memphis, Saqqara Dahshur Tour from Alexandria",wp-page-118521,DRAFT-ONLY,-,-,-,-,-,-
DRAFT-ONLY-DOC-INCOMPLETE,tour,"Cairo Day Tour from Alexandria",wp-page-118678,DRAFT-ONLY,-,-,-,-,-,-
DRAFT-ONLY-DOC-INCOMPLETE,tour,"Marsa Alam to Cairo Small Group Tour Full-Day By Plane",wp-page-135858,DRAFT-ONLY,-,-,-,-,-,-
DRAFT-ONLY-DOC-INCOMPLETE,tour,"Capital Splendors: Group Day Trip to Cairo from Safaga",wp-page-145857,DRAFT-ONLY,-,-,-,-,-,-
DRAFT-ONLY-DOC-INCOMPLETE,tour,"Group Day Tour to Cairo from Al Gouna",wp-page-145867,DRAFT-ONLY,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Sharm El Sheikh to Jerusalem and Dead Sea Full-Day Tour",wp-page-145987,published+draft,-,-,-,-,-,-
DRAFT-ONLY-DOC-INCOMPLETE,guideArticle,"Sharm El Luli",wp-page-146102,DRAFT-ONLY,-,-,-,-,-,-
DRAFT-ONLY-DOC-INCOMPLETE,tour,"Sands of History: Dendera and Abydos Temple Tour Hurghada",wp-page-151510,DRAFT-ONLY,-,-,-,-,-,-
DRAFT-ONLY-DOC-INCOMPLETE,tour,"Cairo Group Tour: Pyramids, Museum & Khan El Khalili",wp-page-151754,DRAFT-ONLY,-,-,-,-,-,-
DRAFT-ONLY-DOC-INCOMPLETE,tour,"Luxor Highlights: One-Day Group Tour from Hurghada",wp-page-151868,DRAFT-ONLY,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Getting Around Taba",wp-page-197000,published+draft,-,-,-,-,-,-
DRAFT-ONLY-DOC-INCOMPLETE,tour,"Desert & Oasis — Siwa Retreat (Solo Traveller)",wp-page-238599,DRAFT-ONLY,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"How To Get To Kharga Oasis",wp-page-253330,published+draft,-,-,-,-,-,-
DRAFT-ONLY-DOC-INCOMPLETE,guideArticle,"Kharga Oasis Only Here",wp-page-253537,DRAFT-ONLY,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"How To Get To Giza",wp-page-253700,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Getting Around Suez",wp-page-254140,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Abu Simbel History",wp-page-56930,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Food in Abu Simbel",wp-page-57838,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Abu Simbel Solar Alignment Festival",wp-page-57848,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Al Arish History",wp-page-58576,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Al-Minya — Weather and Best Time to Visit",wp-page-58638,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Al-Minya — Getting Here",wp-page-58640,published+draft,-,-,-,-,-,-
DRAFT-HERO-PENDING-INCOMPLETE,guideArticle,"Al-Minya — Where to Stay",wp-page-58642,published+draft,-,-,-,-,-,-
