verdict,doc_id,type,title,city,section,page_url,current_image_url,image_shows
mismatch,wp-page-58655,guideArticle,Only Here In Al Minya,Al Minya,others,https://travel2egypt.org/guide/al-minya/only-here-in-al-minya,https://cdn.sanity.io/images/ufallvd2/production/173595072d639eb1a6a12c82a65b26ce03b43204-1400x924.jpg,Luxor Temple colossi and obelisk illuminated at night
mismatch,wp-page-58691,guideArticle,Weather In Al Quseir,Al Quseir,plan-your-trip,https://travel2egypt.org/guide/al-quseir/weather-in-al-quseir,https://cdn.sanity.io/images/ufallvd2/production/eee36017ea4bd366846c3912fa0fd89d50d8118f-680x450.jpg,Hathor-headed temple columns (Nile-valley pharaonic temple)
mismatch,wp-page-58752,guideArticle,Food In Al Wadi Al Gadid,Al Wadi Al Gadid,while-you-are-there,https://travel2egypt.org/guide/al-wadi-al-gadid/food-in-al-wadi-al-gadid,https://cdn.sanity.io/images/ufallvd2/production/6b9c164a25d94bc7556305cb944458479658a4f5-1200x806.jpg,David Roberts lithograph of Luxor Temple pylon and obelisk
mismatch,wp-page-59257,guideArticle,Discover Asyut With Tours,Asyut,others,https://travel2egypt.org/guide/asyut/discover-asyut-with-tours,https://cdn.sanity.io/images/ufallvd2/production/6e94d0de002515487a0422b9fc723b631b643c60-1200x801.jpg,Ruins of Shali fortress at Siwa Oasis (mudbrick old town)
mismatch,wp-page-59312,guideArticle,Baris Tours,Baris,others,https://travel2egypt.org/guide/baris/baris-tours,https://cdn.sanity.io/images/ufallvd2/production/e1773fd62d2fac5232a2987e9f754b59a205e24c-1200x800.jpg,Red Sea coral reef with a free-diver
mismatch,wp-page-59376,guideArticle,Beni Suef Guided Tours,Beni Suef,others,https://travel2egypt.org/guide/beni-suef/beni-suef-guided-tours,https://cdn.sanity.io/images/ufallvd2/production/737407596759b90c62ec7193f7e2148c94e0d79b-1200x600.jpg,Mud-brick lodge by a lake amid palms (Siwa Oasis look)
mismatch,wp-page-59347,guideArticle,How to Reach Beni Suef,Beni Suef,plan-your-trip,https://travel2egypt.org/guide/beni-suef/how-to-reach-beni-suef,https://cdn.sanity.io/images/ufallvd2/production/b84b7254ad7bfbc7bd80f7027a3b5bea50241a36-1400x1050.jpg,Stone chapel on Mount Sinai (Saint Catherine/Sinai interior)
mismatch,wp-page-59422,guideArticle,Culinary Journey,Dahab,others,https://travel2egypt.org/guide/dahab/dahab-restaurants,https://cdn.sanity.io/images/ufallvd2/production/63a192478ec9e744aee0dacab5f1b267d25e7430-1200x800.jpg,Man in a hammock over turquoise Red Sea lagoon
mismatch,wp-page-59655,guideArticle,Road to Dakhla,Dakhla Oasis,places-to-go,https://travel2egypt.org/guide/dakhla-oasis/road-to-dakhla,https://cdn.sanity.io/images/ufallvd2/production/8e574b4253c8aa34d791ca137b184d8e3e857c1b-680x452.jpg,Temple relief of vulture goddesses with ankh symbols and hieroglyphs
mismatch,wp-page-59616,guideArticle,Getting Around In Esna,Esna,while-you-are-there,https://travel2egypt.org/guide/esna/getting-around-in-esna,https://cdn.sanity.io/images/ufallvd2/production/752211618fa4b51d2735c1a62f79efe97d55d53b-1200x900.jpg,People around a campfire beside a desert lake at dusk
mismatch,wp-page-59644,guideArticle,Farafra Oasis Tours,Farafra Oasis,others,https://travel2egypt.org/guide/farafra-oasis/farafra-oasis-tours,https://cdn.sanity.io/images/ufallvd2/production/61aecee3139313a8d7f7a16a5fe8bf8d033ae9a4-900x599.jpg,Dimly-lit Nile-valley temple interior with reliefs (Abydos-style)
mismatch,wp-page-59638,guideArticle,Getting Around In Farafra,Farafra Oasis,while-you-are-there,https://travel2egypt.org/guide/farafra-oasis/getting-around-in-farafra,https://cdn.sanity.io/images/ufallvd2/production/a382d7c939cdd681d5f006e1cb6bb5e9bab1be1d-1400x930.jpg,colorful Red Sea coral reef with tropical fish
mismatch,wp-page-59642,guideArticle,Things To Do In Farafra,Farafra Oasis,while-you-are-there,https://travel2egypt.org/guide/farafra-oasis/things-to-do-in-farafra,https://cdn.sanity.io/images/ufallvd2/production/12508d0ee151412c446175a77e5bab4bd04ff554-800x450.jpg,Aerial of turquoise coastal lagoon and white sandbars (Red Sea coast)
mismatch,wp-page-59706,guideArticle,What To Eat In Hurghada,Hurghada,while-you-are-there,https://travel2egypt.org/guide/hurghada/what-to-eat-in-hurghada,https://cdn.sanity.io/images/ufallvd2/production/7742767e6006db0c7f582f69b7b33ee5e8171b9c-1200x800.jpg,"Red Sea boats/yachts over turquoise reef, snorkellers"
mismatch,wp-page-60122,guideArticle,Accommodation Options Ismailia,Ismailia,while-you-are-there,https://travel2egypt.org/guide/ismailia/accommodation-options-ismailia,https://cdn.sanity.io/images/ufallvd2/production/f3da1cd9c38cbc9f76eaa3203ad1405fb2c57b38-1000x1000.jpg,Wooden pier over calm Red Sea beach at sunset
mismatch,wp-page-60130,guideArticle,Discover Ismailia Flavors,Ismailia,while-you-are-there,https://travel2egypt.org/guide/ismailia/ismailia-flavors,https://cdn.sanity.io/images/ufallvd2/production/18db26b8948c41cff733a17b3ca0c72fe7f97b90-1200x800.jpg,silhouetted group watching sunset over desert dunes
