task,role,brief_url,locale,url,sanity_id,exists,draft_exists,status_code,redirects_to,notes
6,source,/blog/traveling-to-egypt-in-the-time-of-coronavirus,en,/blog/traveling-to-egypt-in-the-time-of-coronavirus,wp-post-56116-en,published,no,200,,"translation.metadata: tmeta-wp-post-56116, translation.metadata.wp-post-56116"
6,source,/blog/traveling-to-egypt-in-the-time-of-coronavirus,es,/es/blog/viajar-a-egipto-en-tiempos-del-coronavirus,wp-post-144335-es,published,no,200,,"translation.metadata: tmeta-wp-post-56116, translation.metadata.wp-post-56116"
6,source,/blog/traveling-to-egypt-in-the-time-of-coronavirus,ja,/ja/blog/pandemikku-go-no-ejiputo-ryoko-de-shitte-oku-koto,wp-post-161800-ja,published,no,200,,"translation.metadata: tmeta-wp-post-56116, translation.metadata.wp-post-56116"
6,target,/travel-tips/passport-and-visa,en,/travel-tips/passport-and-visa,wp-page-60911,published,no,200,,
6,target,/travel-tips/passport-and-visa,es,/es/travel-tips/pasaportes-y-visados-para-egipto-las-normas-de-entrada-explicadas,wp-page-60911,published,no,200,,
6,target,/travel-tips/passport-and-visa,ja,/ja/travel-tips/ejiputo-nyukoku-gaido,wp-page-60911,published,no,200,,
7,source,/blog/how-to-choose-a-sim-card-for-your-trip-to-egypt,en,/blog/how-to-choose-a-sim-card-for-your-trip-to-egypt,wp-post-152484-en,published,no,200,,"translation.metadata: tmeta-wp-post-152484, translation.metadata.wp-post-152484"
7,source,/blog/how-to-choose-a-sim-card-for-your-trip-to-egypt,es,/es/blog/sim-para-viajar-a-egipto,wp-post-154956-es,published,no,200,,"translation.metadata: tmeta-wp-post-152484, translation.metadata.wp-post-152484"
7,source,/blog/how-to-choose-a-sim-card-for-your-trip-to-egypt,ja,/ja/blog/ejiputo-ryoko-no-sim-kado,wp-post-170205-ja,published,no,200,,"translation.metadata: tmeta-wp-post-152484, translation.metadata.wp-post-152484"
7,source,/travel-tips/telephones-in-egypt,en,/travel-tips/telephones-in-egypt,wp-page-60914,published,no,308,/travel-tips/staying-connected-in-egypt,
7,source,/travel-tips/telephones-in-egypt,es,/es/travel-tips/telefonos-en-egipto,wp-page-60914,published,no,200,,
7,source,/travel-tips/telephones-in-egypt,ja,/ja/travel-tips/ejiputo-de-no-denwa-riyo-nitsuite,wp-page-60914,published,no,200,,
7,target,/travel-tips/staying-connected-in-egypt,en,/travel-tips/staying-connected-in-egypt,travelTip.staying-connected-in-egypt,published,no,200,,
7,target,/travel-tips/staying-connected-in-egypt,es,/es/travel-tips/staying-connected-in-egypt-sim-esim-wifi-y-llamadas,travelTip.staying-connected-in-egypt,published,no,200,,
7,target,/travel-tips/staying-connected-in-egypt,ja,/ja/travel-tips/ejiputo-no-tsushin-wi-fi-denwa-kanzen-gaido,travelTip.staying-connected-in-egypt,published,no,200,,
14,source,/blog/egypt-holiday-deals,en,/blog/egypt-holiday-deals,wp-post-1463-en,published,no,200,,"translation.metadata: tmeta-wp-post-1463, translation.metadata.wp-post-1463"
14,source,/blog/egypt-holiday-deals,es,/es/blog/ofertas-de-vacaciones-en-egipto,wp-post-144317-es,published,no,200,,"translation.metadata: tmeta-wp-post-1463, translation.metadata.wp-post-1463"
14,source,/blog/egypt-holiday-deals,ja,/ja/blog/ejiputo-no-horide-puran,wp-post-161806-ja,published,no,200,,"translation.metadata: tmeta-wp-post-1463, translation.metadata.wp-post-1463"
14,target,/egypt-travel-packages,en,/egypt-travel-packages,,code route,,200,,static route (src/i18n/routing.ts)
14,target,/egypt-travel-packages,es,/es/paquetes-de-viaje-a-egipto,,code route,,200,,static route (src/i18n/routing.ts)
14,target,/egypt-travel-packages,ja,/ja/ejiputo-ryoko-pakkeeji,,code route,,200,,static route (src/i18n/routing.ts)
14,source,/blog/vacation-in-egypt,en,/blog/vacation-in-egypt,wp-post-1425-en,published,no,200,,"translation.metadata: tmeta-wp-post-1425, translation.metadata.wp-post-1425"
14,source,/blog/vacation-in-egypt,es,/es/blog/vacaciones-inolvidables-en-egipto,wp-post-144328-es,published,no,200,,"translation.metadata: tmeta-wp-post-1425, translation.metadata.wp-post-1425"
14,source,/blog/vacation-in-egypt,ja,/ja/blog/ejiputo-de-kyuka-o-sugosu-nara,wp-post-162340-ja,published,no,200,,"translation.metadata: tmeta-wp-post-1425, translation.metadata.wp-post-1425"
14,target,/journeys/first-time-in-egypt,en,/journeys/first-time-in-egypt,,code route,,200,,static route (src/i18n/routing.ts)
14,target,/journeys/first-time-in-egypt,es,/es/journeys/primera-vez-en-egipto,,code route,,200,,static route (src/i18n/routing.ts)
