page,doc_id,section_kicker,site_as_written,adult,student,open,close,flags,verified_site,verified_adult,verified_student,verified_open,verified_close,note
ticket-prices-for-attractions-in-alexandria,wp-page-72292,,Alexandria,Adult,Student,Open,Last Close,adult-not-price,,,,,,
ticket-prices-for-attractions-in-alexandria,wp-page-72292,,Alshatbi Tombs,EGP100,EGP50,9:00 AM,5:00 PM,,,,,,,
ticket-prices-for-attractions-in-alexandria,wp-page-72292,,Anfoushi Tombs,EGP100,EGP50,9:00 AM,5:00 PM,,,,,,,
ticket-prices-for-attractions-in-alexandria,wp-page-72292,,Suez National Museum,EGP180,EGP90,9:00 AM,5:00 PM,has-inline-link,,,,,,
ticket-prices-for-attractions-in-alexandria,wp-page-72292,,Greco Roman Museum,EGP400,EGP200,9:00 AM,5:00 PM,,,,,,,
ticket-prices-for-attractions-in-alexandria,wp-page-72292,,The Royal Family Jewellery Museum,EGP220,EGP110,9:00 AM,5:00 PM,,,,,,,
ticket-prices-for-attractions-in-alexandria,wp-page-72292,,Ismailia Museum,EGP100,EGP50,9:00 AM,5:00 PM,has-inline-link,,,,,,
ticket-prices-for-attractions-in-alexandria,wp-page-72292,,Mostafa Kamel Tombs,EGP100,EGP50,9:00 AM,5:00 PM,,,,,,,
ticket-prices-for-attractions-in-alexandria,wp-page-72292,,Temple of Amon in Siwa,EGP120,EGP60,9:00 AM,5:00 PM,,,,,,,
ticket-prices-for-attractions-in-alexandria,wp-page-72292,,Mountain of the Dead in Siwa,EGP120,EGP60,9:00 AM,5:00 PM,,,,,,,
ticket-prices-for-attractions-in-alexandria,wp-page-72292,,Alexandria National Museum,EGP220,EGP110,9:00 AM,5:00 PM,has-inline-link,,,,,,
ticket-prices-for-attractions-in-alexandria,wp-page-72292,,Pillar The masts,EGP200,EGP100,9:00 AM,5:00 PM,,,,,,,
ticket-prices-for-attractions-in-alexandria,wp-page-72292,,Matrouh Museum,EGP180,EGP90,9:00 AM,5:00 PM,,,,,,,
ticket-prices-for-attractions-in-alexandria,wp-page-72292,,Antiquities of Rosetta City,EGP120,EGP60,9:00 AM,5:00 PM,,,,,,,
ticket-prices-for-attractions-in-alexandria,wp-page-72292,,Qitbay Citadel,EGP200,EGP100,9:00 AM,5:00 PM,,,,,,,
ticket-prices-for-attractions-in-alexandria,wp-page-72292,,Kom Al-Shuqafa Tomb,EGP200,EGP100,9:00 AM,5:00 PM,,,,,,,
ticket-prices-for-attractions-in-alexandria,wp-page-72292,,Romiel Cave Museum,EGP100,EGP50,9:00 AM,5:00 PM,,,,,,,
