url,instances,now_redirected,carrier_docs
"https://travel2egypt.org/nuweiba-travel-guide/exploring/",20,yes,"wp-page-56930:guideArticle | wp-page-59571:guideArticle | wp-page-59585:guideArticle | wp-page-78400:guideArticle | wp-page-57838:guideArticle | wp-page-58798:guideArticle | wp-page-59587:guideArticle | wp-page-59615:guideArticle | wp-page-58802:guideArticle | wp-page-68016:guideArticle"
"https://travel2egypt.org/es/guia-de-viaje-de-dahab/experiencias/",16,yes,"wp-post-144441-es:article | wp-post-257609-en:article | wp-post-257611-ja:article | wp-page-57838:guideArticle | wp-page-58798:guideArticle | wp-page-59212:guideArticle | wp-page-58802:guideArticle | wp-page-83360:guideArticle | wp-page-59287:guideArticle | wp-page-59704:guideArticle"
"https://travel2egypt.org/es/guia-de-viaje-de-esna/viaje/",16,yes,"wp-page-59571:guideArticle | wp-page-58798:guideArticle | wp-page-59212:guideArticle | wp-page-59587:guideArticle | wp-page-59615:guideArticle | wp-page-58642:guideArticle | wp-page-58802:guideArticle | wp-page-59287:guideArticle | wp-page-59316:guideArticle | wp-page-59261:guideArticle"
"https://travel2egypt.org/es/guia-de-viaje-de-suez/destacados/",14,yes,"wp-page-57848:guideArticle | wp-page-59615:guideArticle | wp-page-60585:guideArticle | wp-page-58729:guideArticle | wp-page-59257:guideArticle | wp-page-59496:guideArticle | wp-page-59590:guideArticle | wp-page-60536:guideArticle | wp-page-60631:guideArticle | wp-page-60653:guideArticle"
"https://travel2egypt.org/es/guia-de-viaje-de-kom-ombo/excursion/",14,yes,"wp-page-60654:guideArticle | wp-page-59287:guideArticle | wp-page-59316:guideArticle | wp-page-60442:guideArticle | wp-page-60461:guideArticle | wp-page-59393:guideArticle | wp-page-59427:guideArticle | wp-page-60207:guideArticle | wp-page-60231:guideArticle | wp-page-60487:guideArticle"
"https://travel2egypt.org/es/guia-de-viaje-de-marsa-alam/experiencias-unicas/",11,yes,"wp-page-78400:guideArticle | wp-page-60654:guideArticle | wp-page-59704:guideArticle | wp-page-58801:guideArticle | wp-page-59283:guideArticle | wp-page-59493:guideArticle | wp-page-60436:guideArticle | wp-page-58796:guideArticle | wp-page-59387:guideArticle | wp-page-60458:guideArticle"
"https://travel2egypt.org/es/guia-de-viajes-de-sharm-el-sheij/",8,yes,"wp-post-144441-es:article | wp-post-257609-en:article | wp-post-257611-ja:article | wp-page-60442:guideArticle | wp-page-60300:guideArticle | wp-page-60695:guideArticle | wp-page-59655:guideArticle | wp-page-78448:guideArticle"
"https://travel2egypt.org/es/guia-de-viaje-de-al-minya/explorando/",7,yes,"wp-post-144441-es:article | wp-post-257609-en:article | wp-post-257611-ja:article | wp-page-56930:guideArticle | wp-page-57838:guideArticle | wp-page-58642:guideArticle | wp-page-156421:tour"
"https://travel2egypt.org/kom-ombo-travel-guide/excursion/",7,yes,"wp-page-78400:guideArticle | wp-page-59702:guideArticle | wp-page-59704:guideArticle | wp-page-60712:guideArticle | wp-page-145987:guideArticle | wp-page-60207:guideArticle | wp-page-60300:guideArticle"
"https://travel2egypt.org/es/guia-de-viaje-de-port-said/joyas-ocultas/",7,yes,"wp-page-58736:guideArticle | wp-page-78361:guideArticle | wp-page-87830:tour | wp-page-59702:guideArticle | wp-page-58693:guideArticle | wp-page-59494:guideArticle | wp-page-75745:guideArticle"
"https://travel2egypt.org/es/guia-de-viaje-de-esna/templo-de-khnum/",5,yes,"wp-page-59615:guideArticle | wp-page-68016:guideArticle | wp-page-59603:guideArticle | wp-page-88483:tour | wp-page-59644:guideArticle"
"https://travel2egypt.org/es/guia-de-viaje-de-santa-catalina/montana-de-moises/",5,yes,"wp-page-58642:guideArticle | wp-page-60442:guideArticle | wp-page-60624:guideArticle | wp-page-59253:guideArticle | wp-page-60230:guideArticle"
"https://travel2egypt.org/es/guia-de-viaje-de-al-minya/aventuras/",4,yes,"wp-post-144441-es:article | wp-post-257609-en:article | wp-post-257611-ja:article | wp-page-60654:guideArticle"
"https://travel2egypt.org/es/guia-de-viaje-de-abu-simble/el-pequeno-templo-de-abu-simbel/",4,yes,"wp-page-56930:guideArticle | wp-page-57838:guideArticle | wp-page-57848:guideArticle | wp-page-59257:guideArticle"
"https://travel2egypt.org/es/guia-de-viaje-de-qena/techo-hipostilo/",4,yes,"wp-page-59571:guideArticle | wp-page-59603:guideArticle | guideArticle.kom-ombo.khnum-temple:guideArticle | wp-page-88397:tour"
"https://travel2egypt.org/edfu-travel-guide/expeditions/",4,yes,"wp-page-59585:guideArticle | wp-page-58576:guideArticle | wp-page-59229:guideArticle"
"https://travel2egypt.org/es/guia-de-safaga/actividades-para-probar/",4,yes,"wp-page-58798:guideArticle | wp-page-60388:guideArticle | wp-page-60603:guideArticle | wp-page-78370:guideArticle"
"https://travel2egypt.org/al-fayoum-travel-guide/stay-traditional-modern/",4,yes,"wp-page-59587:guideArticle | wp-page-58803:guideArticle | wp-page-58655:guideArticle | wp-page-59262:guideArticle"
"https://travel2egypt.org/es/guia-de-viaje-de-guiza/menfis-la-ciudad-antigua/",4,yes,"wp-page-59587:guideArticle | wp-page-59615:guideArticle | wp-page-58640:guideArticle | wp-page-59496:guideArticle"
