doc_id,locale,summary_len,body0_len
guideArticle.al-wadi-al-gadid.el-wadi-el-gedid-museum,en,240,76
guideArticle.al-wadi-al-gadid.el-wadi-el-gedid-museum,es,240,64
guideArticle.al-wadi-al-gadid.el-wadi-el-gedid-museum,ja,240,39
guideArticle.alexandria.the-national-museum,en,240,19
guideArticle.alexandria.the-national-museum,es,240,17
guideArticle.alexandria.the-national-museum,ja,240,5
guideArticle.cairo.al-azhar-mosque,es,157,508
guideArticle.cairo.al-azhar-to-the-citadel,en,240,52
guideArticle.cairo.al-azhar-to-the-citadel,es,240,49
guideArticle.cairo.al-azhar-to-the-citadel,ja,240,29
guideArticle.cairo.amir-taz-palace,es,197,540
guideArticle.cairo.an-nasir-mohammed-bin-qalawoon-mosque,en,239,85
guideArticle.cairo.an-nasir-mohammed-bin-qalawoon-mosque,es,240,86
guideArticle.cairo.an-nasir-mohammed-bin-qalawoon-mosque,ja,240,37
guideArticle.cairo.aqsunqur-mosque-the-blue-mosque,es,251,757
guideArticle.cairo.aqsunur-mosque,en,240,71
guideArticle.cairo.aqsunur-mosque,es,240,83
guideArticle.cairo.aqsunur-mosque,ja,240,37
guideArticle.cairo.bab-zuweila,es,188,701
guideArticle.cairo.bein-al-qasreen,es,147,744
guideArticle.cairo.beit-al-harrawi,es,181,637
guideArticle.cairo.beit-al-suhaymi,es,190,548
guideArticle.cairo.beit-zeinab-al-khatoun,es,228,586
guideArticle.cairo.ben-ezra-synagogue,es,219,430
guideArticle.cairo.church-of-saint-barbara,es,165,576
guideArticle.cairo.church-of-saint-sergius-and-bacchus-abu-serga,es,242,691
guideArticle.cairo.church-of-st-barbara,en,240,66
guideArticle.cairo.church-of-st-barbara,es,240,75
guideArticle.cairo.church-of-st-barbara,ja,240,22
guideArticle.cairo.church-of-st-sergius-bacchus,en,240,67
guideArticle.cairo.church-of-st-sergius-bacchus,es,240,68
guideArticle.cairo.church-of-st-sergius-bacchus,ja,240,26
guideArticle.cairo.complex-of-sultan-al-ashraf-barsbay,es,102,522
guideArticle.cairo.egyptian-museum-of-antiquities,es,235,608
guideArticle.cairo.egyptian-textile-museum,es,180,454
guideArticle.cairo.from-al-azhar-to-the-citadel-walking-islamic-cairo,es,278,661
guideArticle.cairo.gawhara-terrace-and-palace,es,172,425
guideArticle.cairo.gayer-anderson-museum,es,268,718
guideArticle.cairo.hanging-church-al-mu-allaqa,es,177,677
guideArticle.cairo.ibn-tulun-citadel,en,240,75
guideArticle.cairo.ibn-tulun-citadel,es,240,89
guideArticle.cairo.ibn-tulun-citadel,ja,240,31
guideArticle.cairo.khan-al-khalili-bazaar,en,240,22
guideArticle.cairo.khan-al-khalili-bazaar,es,240,21
guideArticle.cairo.khan-al-khalili-bazaar,ja,240,27
guideArticle.cairo.khan-el-khalili,es,133,565
guideArticle.cairo.khanqah-mausoleum-of-sultan-baybars-al-gashankir,en,240,75
guideArticle.cairo.khanqah-mausoleum-of-sultan-baybars-al-gashankir,es,240,76
guideArticle.cairo.khanqah-mausoleum-of-sultan-baybars-al-gashankir,ja,240,35
guideArticle.cairo.khayrbek-complex,es,249,472
guideArticle.cairo.madrasa-and-khanqah-of-sultan-barquq,es,248,554
guideArticle.cairo.madrasa-of-al-nasir-muhammad-ibn-qalawun-en-2026-05,en,203,497
guideArticle.cairo.madrassa-and-mausoleum-of-barquq,en,239,53
guideArticle.cairo.madrassa-and-mausoleum-of-barquq,es,240,53
guideArticle.cairo.madrassa-and-mausoleum-of-barquq,ja,240,19
guideArticle.cairo.madrassa-mausoleum-of-as-salih-negm-el-din-ayyub,en,240,74
guideArticle.cairo.madrassa-mausoleum-of-as-salih-negm-el-din-ayyub,es,240,73
guideArticle.cairo.madrassa-mausoleum-of-as-salih-negm-el-din-ayyub,ja,240,37
guideArticle.cairo.madrassa-mausoleum-of-qalawun,en,240,63
guideArticle.cairo.madrassa-mausoleum-of-qalawun,es,240,73
guideArticle.cairo.madrassa-mausoleum-of-qalawun,ja,240,26
guideArticle.cairo.mausoleum-of-al-ghouri,es,217,637
guideArticle.cairo.midan-al-hussein,es,269,532
guideArticle.cairo.mosque-madrasa-of-al-ghouri,es,252,517
guideArticle.cairo.mosque-madrassa-of-al-ghouri,en,240,83
guideArticle.cairo.mosque-madrassa-of-al-ghouri,es,240,93
guideArticle.cairo.mosque-madrassa-of-al-ghouri,ja,240,29
guideArticle.cairo.mosque-madrassa-of-umm-sultan-sha-aban,es,225,839
guideArticle.cairo.mosque-madrassa-of-umm-sultan-shaaban,en,239,39
guideArticle.cairo.mosque-madrassa-of-umm-sultan-shaaban,es,240,46
guideArticle.cairo.mosque-madrassa-of-umm-sultan-shaaban,ja,240,19
guideArticle.cairo.mosque-of-al-mu-ayyad-shaykh,es,228,645
guideArticle.cairo.mosque-of-al-nasir-mohammed-ben-qalawoon,en,240,70
guideArticle.cairo.mosque-of-al-nasir-mohammed-ben-qalawoon,es,240,78
guideArticle.cairo.mosque-of-al-nasir-mohammed-ben-qalawoon,ja,240,32
guideArticle.cairo.mosque-of-al-nasir-muhammad-ibn-qalawun-en-2026-05,en,166,358
guideArticle.cairo.mosque-of-amr-ibn-al-as,es,266,775
guideArticle.cairo.mosque-of-ibn-tulun,es,266,728
guideArticle.cairo.mosque-of-sayyidna-al-hussein,es,161,554
guideArticle.cairo.northern-cemetery,es,229,572
guideArticle.cairo.northern-walls-and-gates-of-fatimid-cairo,es,220,720
guideArticle.cairo.roman-towers-and-church-of-saint-george,es,278,662
guideArticle.cairo.sabil-and-kuttab-of-abdel-rahman-katkhuda,en,240,74
guideArticle.cairo.sabil-and-kuttab-of-abdel-rahman-katkhuda,es,240,74
guideArticle.cairo.sabil-and-kuttab-of-abdel-rahman-katkhuda,ja,240,35
guideArticle.cairo.sabil-kuttab-of-abd-al-rahman-katkhuda,es,244,534
guideArticle.cairo.sabil-of-muhammad-ali-pasha,es,220,563
guideArticle.cairo.sharia-al-muizz-li-din-allah,es,268,615
guideArticle.cairo.the-citadel-of-saladin,es,257,696
guideArticle.cairo.the-coptic-museum,es,163,601
guideArticle.cairo.the-hanging-church,en,239,46
guideArticle.cairo.the-hanging-church,es,239,58
guideArticle.cairo.the-hanging-church,ja,240,20
guideArticle.cairo.the-mosque-of-sultan-qaitbey,en,240,66
guideArticle.cairo.the-mosque-of-sultan-qaitbey,es,239,76
guideArticle.cairo.the-mosque-of-sultan-qaitbey,ja,240,30
guideArticle.giza.abusir-necropolis,es,156,513
guideArticle.giza.abusir-pyramid-of-niuserre,en,240,90
guideArticle.giza.abusir-pyramid-of-niuserre,es,240,103
guideArticle.giza.abusir-pyramid-of-niuserre,ja,240,34
guideArticle.giza.dahshur-necropolis,es,164,443
guideArticle.giza.imhotep-museum-at-saqqara,es,201,549
guideArticle.giza.mastaba-of-ptahshepses-at-abusir,es,188,533
guideArticle.giza.memphis-mit-rahina,es,201,777
guideArticle.giza.mit-rahina-museum,es,163,538
guideArticle.giza.pyramid-of-djedefre-at-abu-rawash,es,259,730
guideArticle.giza.pyramid-of-khentkaus-ii-at-abusir,es,257,731
guideArticle.giza.pyramid-of-neferirkare-at-abusir,es,271,774
guideArticle.giza.pyramid-of-sahure-at-abusir,es,182,505
guideArticle.giza.pyramids-of-zawyet-el-aryan,es,224,581
guideArticle.giza.tanis-san-al-hagar,es,237,748
guideArticle.giza.the-bent-pyramid-of-sneferu,es,271,842
guideArticle.giza.the-great-pyramid-of-khufu,es,275,631
guideArticle.giza.the-great-sphinx,es,273,653
guideArticle.giza.the-layer-pyramid-of-khaba-at-zawyet-el-aryan,es,246,579
guideArticle.giza.the-red-pyramid-of-sneferu,es,210,741
guideArticle.giza.the-saqqara-necropolis,es,216,689
guideArticle.giza.the-solar-boat-of-khufu,es,167,416
guideArticle.giza.the-white-pyramid-of-amenemhat-ii,es,139,614
guideArticle.giza.tomb-of-mereruka-at-saqqara,es,273,560
guideArticle.giza.tours-in-giza,es,161,428
guideArticle.kom-ombo.gebel-el-silsila,es,152,966
guideArticle.kom-ombo.khnum-temple,en,240,22
guideArticle.kom-ombo.khnum-temple,es,240,36
