from_url,destination,sub,clicks,impressions
https://travel2egypt.org/how-to-choose-a-sim-card-for-your-trip-to-egypt/,,,7360,348156
https://travel2egypt.org/alcohol-in-egypt/,,,6500,348010
https://travel2egypt.org/are-there-crocodiles-in-the-nile-river/,,,2738,259051
https://travel2egypt.org/ja/エジプトのチップ文化（バクシーシ）/,,,1997,36415
https://travel2egypt.org/water-safety-in-egypt-advice-for-travelers/,,,1821,134872
https://travel2egypt.org/faux-pas-to-avoid-in-egypt/,,,1310,94974
https://travel2egypt.org/es/hay-cocodrilos-en-el-rio-nilo/,,,1215,60407
https://travel2egypt.org/escorts-in-egypt/,,,1049,22983
https://travel2egypt.org/ja/エジプトで避けるべき失礼な行動/,,,861,62379
https://travel2egypt.org/es/tu-nombre-en-jeroglificos/,,,831,24565
https://travel2egypt.org/toilets-in-egypt/,,,777,53060
https://travel2egypt.org/ja/エジプトの水安全-旅行者へのアドバイス/,,,730,18403
https://travel2egypt.org/attractions-entrance-fees/,,,689,96612
https://travel2egypt.org/es/propinas-en-egipto/,,,660,27357
https://travel2egypt.org/es/alcohol-en-egipto/,,,636,18133
https://travel2egypt.org/antique-market-in-cairo-the-diana-market/,,,576,18140
https://travel2egypt.org/egypt-transportation-tips/,,,575,94334
https://travel2egypt.org/safety-guide-for-travelers-to-egypt/,,,550,269026
https://travel2egypt.org/why-january-is-the-perfect-month-to-visit-egypt/,,,541,41963
https://travel2egypt.org/es/las-bebidas-alcoholicas-en-egipto/,,,494,14387
https://travel2egypt.org/ja/エジプト・ナイルクルーズ完全ガイド/,,,457,6703
https://travel2egypt.org/,,,443,68976
https://travel2egypt.org/ja/エジプトのトイレ情報/,,,442,14952
https://travel2egypt.org/ja/エジプトの神々：エジプト神話で最も重要な神々/,,,417,47665
https://travel2egypt.org/cave-church-cairo/,,,414,64591
https://travel2egypt.org/opening-hours-and-public-holidays/,,,411,148406
https://travel2egypt.org/cinematic-guide-to-egypts-film-sites/,,,389,48702
https://travel2egypt.org/es/tumbas-imprescindibles-del-valle-de-los-reyes/,,,382,16014
https://travel2egypt.org/wadi-feiran/,,,376,19496
https://travel2egypt.org/dahab-seasonal-guide/,,,374,52873
https://travel2egypt.org/private-tour-2-days-1-night-trip-to-saint-catherine-from-cairo/,,,366,33800
https://travel2egypt.org/es/los-coptos-de-egipto-guardianes-de-una-antigua-fe/,,,365,89230
https://travel2egypt.org/visiting-egypt-in-july/,,,365,43124
https://travel2egypt.org/how-to-go-to-saint-catherine/,,,363,15281
https://travel2egypt.org/myths-and-facts-about/,,,356,32431
https://travel2egypt.org/ja/エジプト旅行に最適なsimカードの選び方/,,,354,7551
https://travel2egypt.org/middle-kingdom-pharaohs/,,,350,63634
https://travel2egypt.org/es/telefonos-en-egipto/,,,341,19776
https://travel2egypt.org/siwa-salt-lakes/,,,335,58346
https://travel2egypt.org/places-to-visit-in-cairo-at-night/,,,329,44193
https://travel2egypt.org/ja/ルクソールの移動手段あれこれ/,,,303,2381
https://travel2egypt.org/es/precios-de-las-entradas-a-las-atracciones-de-luxor/,,,289,12085
https://travel2egypt.org/ja/古代エジプトに関する14の誤解と真実/,,,288,11399
https://travel2egypt.org/sacred-places-in-egypt-temples-mosques-and-religious-sites-to-explore/,,,275,25922
https://travel2egypt.org/ja/エジプトの値段交渉/,,,273,1662
https://travel2egypt.org/the-copts-of-egypt-guardians-of-an-ancient-faith/,,,272,89684
https://travel2egypt.org/ja/エジプトの映画撮影地への映画ガイド/,,,268,8964
https://travel2egypt.org/telephones-in-egypt/,,,263,92173
https://travel2egypt.org/ja/ナイル川にワニはいますか？/,,,252,7050
https://travel2egypt.org/cultural-etiquette-in-egypt/,,,247,25043
https://travel2egypt.org/cairo-private-car-and-guide/,,,240,8701
https://travel2egypt.org/es/explorando-la-iglesia-de-la-cueva-de-el-cairo-una-joya-escondida-en-la-montana-mokattam/,,,238,7126
https://travel2egypt.org/how-to-go-to-faiyum/,,,227,11228
https://travel2egypt.org/ja/夜のカイロで訪れたいおすすめスポット/,,,217,3025
https://travel2egypt.org/getting-around-sharm-el-sheikh/,,,210,19821
https://travel2egypt.org/wifi-in-egypt/,,,208,60139
https://travel2egypt.org/es/por-que-enero-es-el-mes-perfecto-para-visitar-egipto/,,,208,17781
https://travel2egypt.org/egypt-scams-bargaining-tips/,,,208,14524
https://travel2egypt.org/sharm-el-sheikh-travel-guide/getting-around/,sharm-el-sheikh,getting-around,203,17740
https://travel2egypt.org/al-arish-travel-guide/,,,196,44976
https://travel2egypt.org/es/visitar-egipto-en-julio/,,,196,21150
https://travel2egypt.org/ja/ルクソール旅行ガイド/移動手段あれこれ/,,,196,1670
https://travel2egypt.org/es/14-mitos-del-antiguo-egipto-realidad-o-ficcion/,,,193,26235
https://travel2egypt.org/ja/エジプトのアルコール/,,,193,7714
https://travel2egypt.org/dahab-travel-guide/when-to-visit-dahab/,dahab,when-to-visit-dahab,189,21367
https://travel2egypt.org/traditional-food-in-aswan/,,,189,14579
https://travel2egypt.org/how-to-get-around-alexandria/,,,187,13501
https://travel2egypt.org/egyptian-gods/,,,186,86150
https://travel2egypt.org/why-you-should-visit-egypt-in-april/,,,184,26741
https://travel2egypt.org/how-to-go-to-bahariya-oasis/,,,184,4616
https://travel2egypt.org/group-day-tours/,,,174,78430
https://travel2egypt.org/es/transporte-en-egipto/,,,172,8260
https://travel2egypt.org/local-hospitals-in-egypt/,,,171,15663
https://travel2egypt.org/exploring-the-great-sphinx-of-giza/,,,170,23198
https://travel2egypt.org/es/tumbas-imprescindibles-del-valle-de-los-reyes-2024-joyas-ocultas-y-consejos-ineditos-para-los-visitantes/,,,170,8630
https://travel2egypt.org/where-to-eat-in-alexandria/,,,164,17501
https://travel2egypt.org/es/dioses-egipcios/,,,161,78982
https://travel2egypt.org/es/entradas-a-las-atracciones/,,,159,5347
https://travel2egypt.org/ja/アレクサンドリアへのアクセス方法/,,,159,2572
https://travel2egypt.org/airports-in-egypt/,,,157,63621
https://travel2egypt.org/es/cine-de-egipto/,,,154,26994
https://travel2egypt.org/aswan-travel-guide/culinary-feasting/,aswan,culinary-feasting,153,6986
https://travel2egypt.org/best-time-to-cruise-the-nile-2/,,,151,16505
https://travel2egypt.org/month-by-month-guide-to-egypt/,,,148,23773
https://travel2egypt.org/es/la-electricidad-en-egipto/,,,147,53193
https://travel2egypt.org/wellness-and-medical-tourism-in-egypt/,,,145,15356
https://travel2egypt.org/ja/ギザのピラミッドで詐欺を避ける方法/,,,142,2581
https://travel2egypt.org/ja/エジプトの言語/,,,141,64398
https://travel2egypt.org/when-to-go-marsa-alam/,,,141,35846
https://travel2egypt.org/aswan-and-abu-simbel-from-luxor/,,,140,17165
https://travel2egypt.org/ja/エジプトの通貨/,,,137,12205
https://travel2egypt.org/es/129-razones-para-visitar-el-templo-de-karnak/,,,135,21399
https://travel2egypt.org/ja/営業時間と祝日/,,,134,6775
https://travel2egypt.org/esna-travel-guide/,,,133,20171
https://travel2egypt.org/ja/時の守護者：ギザの大スフィンクスを探索する/,,,131,29072
https://travel2egypt.org/es/donde-esta-tutankamon-ahora/,,,130,8126
https://travel2egypt.org/ja/カイトベイの要塞/,,,130,1926
https://travel2egypt.org/es/hospitales-locales-en-egipto-costos-y-atencion-medica/,,,129,5042
https://travel2egypt.org/language-in-egypt/,,,128,160613
https://travel2egypt.org/ja/エジプトのシニア向けグループ旅行/,,,128,1546
https://travel2egypt.org/how-to-dress-when-visiting-egypt/,,,127,27194
https://travel2egypt.org/ja/ギザの観光地チケット料金/,,,125,6243
https://travel2egypt.org/es/nilo-en-zamalek/,,,124,4401
https://travel2egypt.org/es/retretes-en-egipto/,,,124,3076
https://travel2egypt.org/al-gouna-travel-guide/mangroovy-beach/,al-gouna,mangroovy-beach,123,5876
https://travel2egypt.org/the-evolution-of-food-in-egypt/,,,121,16101
https://travel2egypt.org/sufi-dance-tanoura-show-in-the-wikala-of-el-ghoury/,,,121,5853
https://travel2egypt.org/electricity-in-egypt/,,,120,46384
https://travel2egypt.org/ja/エジプトでの電話利用について/,,,118,4437
https://travel2egypt.org/es/explora-el-gran-museo-egipcio-2024-guia-para-iniciados/,,,116,3694
https://travel2egypt.org/time-in-egypt/,,,114,11891
https://travel2egypt.org/how-to-avoid-scams-at-giza-pyramids/,,,111,9557
https://travel2egypt.org/ja/シャルム・エル・シェイクまでの行き方/,,,110,3060
https://travel2egypt.org/nabq-national-park/,,,107,14477
https://travel2egypt.org/ja/カイロ国立エジプト文明博物館の究極ガイド/,,,107,2221
https://travel2egypt.org/ja/ワディ・フェイラン：シナイの古代の谷を巡る旅/,,,107,717
https://travel2egypt.org/traveling-to-egypt-in-august/,,,106,11385
https://travel2egypt.org/egypt-tours-from-germany/,,,106,8504
https://travel2egypt.org/es/gran-museo-egipcio/,,,102,5878
https://travel2egypt.org/es/reyes-del-antiguo-egipto/,,,101,53510
https://travel2egypt.org/edfu-travel-guide/,,,101,29015
https://travel2egypt.org/es/las-mejores-opciones-de-tarjetas-sim-para-viajar-a-egipto/,,,100,5347
https://travel2egypt.org/must-see-tombs-in-the-valley-of-the-kings/,,,98,20807
https://travel2egypt.org/sharm-el-sheikh-historical-overview/,,,98,19473
https://travel2egypt.org/overnight-sataya-dolphin-reef-safari/,,,98,5721
https://travel2egypt.org/nile-link-private-cartransfer-from-aswan-to-luxor/,,,98,5328
https://travel2egypt.org/ancient-egyptian-kings/,,,97,79297
https://travel2egypt.org/luxor-private-day-tours/,,,97,12096
https://travel2egypt.org/restaurants-in-zamalek/,,,96,35032
https://travel2egypt.org/ja/エジプトのラマダン/,,,96,6920
https://travel2egypt.org/es/mercado-local-de-asuan/,,,96,3066
https://travel2egypt.org/es/restaurantes-con-vistas-al-nilo-en-zamalek-el-cairo/,,,95,3654
https://travel2egypt.org/es/guia-cinematografica-de-los-sitios-de-cine-de-egipto/,,,94,8443
https://travel2egypt.org/ja/美食の饗宴/,,,93,1248
https://travel2egypt.org/es/lugares-que-visitar-en-el-cairo-de-noche/,,,92,7048
https://travel2egypt.org/es/el-mejor-itinerario-de-12-dias-por-egipto/,,,92,3731
https://travel2egypt.org/sharm-el-sheikh-to-mount-sinai/,,,91,16207
https://travel2egypt.org/ja/ルクソールの観光地チケット料金/,,,91,2379
